           k      D^2_lin
7.597340E-05 7.056534E-12
7.673690E-05 7.341562E-12
7.750810E-05 7.638114E-12
7.828710E-05 7.946581E-12
7.907390E-05 8.267580E-12
7.986860E-05 8.601542E-12
8.067130E-05 8.948907E-12
8.148210E-05 9.310412E-12
8.230100E-05 9.686497E-12
8.312810E-05 1.007765E-11
8.396350E-05 1.048471E-11
8.480740E-05 1.090826E-11
8.565970E-05 1.134876E-11
8.652060E-05 1.180719E-11
8.739020E-05 1.228417E-11
8.826850E-05 1.278026E-11
8.915560E-05 1.329650E-11
9.005160E-05 1.383359E-11
9.095660E-05 1.439222E-11
9.187080E-05 1.497363E-11
9.279410E-05 1.557831E-11
9.372670E-05 1.620759E-11
9.466860E-05 1.686224E-11
9.562010E-05 1.754325E-11
9.658110E-05 1.825190E-11
9.755170E-05 1.898893E-11
9.853210E-05 1.975597E-11
9.952240E-05 2.055382E-11
1.005230E-04 2.138440E-11
1.015330E-04 2.224775E-11
1.025530E-04 2.314606E-11
1.035840E-04 2.408108E-11
1.046250E-04 2.505379E-11
1.056770E-04 2.606604E-11
1.067390E-04 2.711889E-11
1.078110E-04 2.821328E-11
1.088950E-04 2.935345E-11
1.099890E-04 3.053840E-11
1.110950E-04 3.177265E-11
1.122110E-04 3.305514E-11
1.133390E-04 3.439034E-11
1.144780E-04 3.577942E-11
1.156290E-04 3.722493E-11
1.167910E-04 3.872809E-11
1.179640E-04 4.029145E-11
1.191500E-04 4.191918E-11
1.203470E-04 4.361135E-11
1.215570E-04 4.537373E-11
1.227790E-04 4.720659E-11
1.240130E-04 4.911305E-11
1.252590E-04 5.109638E-11
1.265180E-04 5.316004E-11
1.277890E-04 5.530593E-11
1.290740E-04 5.754062E-11
1.303710E-04 5.986393E-11
1.316810E-04 6.228163E-11
1.330040E-04 6.479599E-11
1.343410E-04 6.741325E-11
1.356910E-04 7.013534E-11
1.370550E-04 7.296825E-11
1.384320E-04 7.591405E-11
1.398240E-04 7.898137E-11
1.412290E-04 8.217034E-11
1.426480E-04 8.548778E-11
1.440820E-04 8.894191E-11
1.455300E-04 9.253358E-11
1.469930E-04 9.627045E-11
1.484700E-04 1.001574E-10
